sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Profile 1;Profile 2;Profile 3;Profile 4
180.000;5799;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;ParsAgent@261626959;Mercury@880918639;Atlas3@96337000;Group13_freqmodel@84276077;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;4662;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;ParsAgent@624463768;Mercury@124218211;Group13_freqmodel@2146323139;Atlas3@739931705;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;4963;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;ParsAgent@386083422;Group13_freqmodel@1683465341;Mercury@904936962;Atlas3@519293055;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;5005;;180s;No;No;2;0.00000;0.50000;1.03134;1.51087;0.00000;Group13_freqmodel@1208856712;ParsAgent@2059457964;Mercury@100439210;Atlas3@1539728734;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;5150;;180s;No;No;3;0.00000;0.50000;1.03134;1.51087;0.00000;Group13_freqmodel@1710783995;ParsAgent@1606491958;Atlas3@834354486;Mercury@470087048;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;5601;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;ParsAgent@1053995695;Group13_freqmodel@143026827;Atlas3@817680396;Mercury@1423800005;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
103.594;2745;;180s;No;No;0;0.00000;0.50000;1.03134;1.51087;0.00000;ParsAgent@1110200054;Atlas3@1598632115;Group13_freqmodel@270748084;Mercury@2092683442;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;5832;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;ParsAgent@298651297;Atlas3@971202188;Mercury@1437556058;Group13_freqmodel@1246111613;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;5141;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;Atlas3@911649740;ParsAgent@301369396;Mercury@1348998946;Group13_freqmodel@1247283463;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
112.412;2589;;180s;No;No;0;0.00000;0.50000;1.03134;1.51087;0.00000;Atlas3@1503843245;ParsAgent@580180918;Group13_freqmodel@1245901106;Mercury@1336332356;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
112.344;2435;;180s;No;No;0;0.00000;0.50000;1.03134;1.51087;0.00000;Atlas3@1612829060;Group13_freqmodel@238305007;ParsAgent@1277590954;Mercury@924770614;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;4769;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;Group13_freqmodel@1258865060;Atlas3@736173176;ParsAgent@1143147096;Mercury@1695216245;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;5438;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;Group13_freqmodel@1975388668;Atlas3@260160456;Mercury@1732387308;ParsAgent@1704285352;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;5445;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;Atlas3@1598923253;Group13_freqmodel@1575605742;Mercury@584854637;ParsAgent@1416285793;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
180.000;5139;;180s;No;No;1;0.00000;0.50000;1.03134;1.51087;0.00000;Atlas3@934255923;Mercury@737973095;Group13_freqmodel@1593709666;ParsAgent@2062311078;0.0;0.0;0.48;0.5;party1_utility.xml;party2_utility.xml;party_util1.xml;party_util2.xml
