sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
54.004;9224;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@52728603;RandomCounterOfferNegotiationParty@1446368057;Group13@1550674714;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.007;7665;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@789297365;Group13@1693324662;RandomCounterOfferNegotiationParty@1254304190;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.006;7870;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@146539125;RandomCounterOfferNegotiationParty@1866814413;RandomCounterOfferNegotiationParty@813756621;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.002;7583;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@116381435;RandomCounterOfferNegotiationParty@1812659275;RandomCounterOfferNegotiationParty@1161418583;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.009;7371;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@366519341;Group13@1604205185;RandomCounterOfferNegotiationParty@219356210;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.004;8749;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@1967836409;RandomCounterOfferNegotiationParty@1824420896;Group13@851366508;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.005;8969;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@1599868648;RandomCounterOfferNegotiationParty@349622849;Group13@999418382;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.007;7416;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@487996461;Group13@309110872;RandomCounterOfferNegotiationParty@463483611;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.005;7492;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@1549136794;RandomCounterOfferNegotiationParty@1145232385;RandomCounterOfferNegotiationParty@698491487;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.007;7713;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@1006274470;RandomCounterOfferNegotiationParty@1099519752;RandomCounterOfferNegotiationParty@805263274;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.008;7325;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@1891622278;Group13@942961089;RandomCounterOfferNegotiationParty@2065191610;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.001;8970;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@670288584;RandomCounterOfferNegotiationParty@1712030709;Group13@1415585898;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.009;8762;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@1122494541;RandomCounterOfferNegotiationParty@121911692;Group13@722153381;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.007;7424;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@401477573;Group13@932668017;RandomCounterOfferNegotiationParty@1186691034;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.001;7486;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@663867359;RandomCounterOfferNegotiationParty@1441156548;RandomCounterOfferNegotiationParty@1685821625;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.009;7706;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@1883301082;RandomCounterOfferNegotiationParty@464509247;RandomCounterOfferNegotiationParty@62161540;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.005;7185;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@845666196;Group13@1366625097;RandomCounterOfferNegotiationParty@1530400614;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.005;8710;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@16598996;RandomCounterOfferNegotiationParty@1953935309;Group13@1514398611;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
